,Conference,Location,Points,FG made,FG attempts,3P made,3P attempts,FT made,FT attempts,Off Reb,Team Reb,Assists,Steals,Blocks,turnovers,Pers Fouls,Opponent Conf,Points opp,FG made opp,FG attempts opp,3P made opp,3P attempts opp,FT made opp,FT attempts opp,Off Reb opp,Team Reb opp,Assists opp,Steals opp,Blocks opp,turnovers opp,Pers Fouls opp
6147,PacTwelve,@,69,24,48,6,15,15,19,11,30,9,8,4,18,18,PacTwelve,58,21,48,3,12,13,20,6,20,12,11,0,14,17
6148,PacTwelve,@,70,28,57,8,20,6,11,7,31,13,4,2,7,15,PacTwelve,63,25,56,5,19,8,10,9,32,7,3,2,10,13
6149,PacTwelve,@,52,16,51,6,18,14,15,9,30,8,6,3,12,15,PacTwelve,54,21,51,7,17,5,12,8,32,13,5,3,11,14
6150,PacTwelve,,74,25,57,7,22,17,25,4,34,14,1,2,7,13,PacTwelve,65,25,56,3,18,12,17,4,33,9,5,3,13,23
6151,PacTwelve,,68,26,53,5,15,11,13,7,25,13,4,5,14,14,PacTwelve,76,27,51,4,14,18,21,2,20,11,8,3,9,13
6152,PacTwelve,,91,38,64,7,18,8,12,13,41,17,5,2,8,13,PacTwelve,52,19,54,6,19,8,12,8,22,8,4,2,13,14
6153,PacTwelve,,78,26,57,9,22,17,20,11,41,19,7,4,14,12,PacTwelve,56,22,59,8,20,4,7,6,24,13,10,3,13,17
6154,PacTwelve,,76,29,64,7,19,11,14,11,37,22,12,1,14,14,PacTwelve,62,23,55,11,23,5,10,6,27,16,9,7,18,13
6155,PacTwelve,@,78,27,52,9,19,15,17,6,33,14,8,4,9,16,PacTwelve,57,22,58,5,16,8,11,6,26,10,4,0,11,17
6156,PacTwelve,,81,20,41,11,21,30,40,4,28,13,4,3,9,17,PacTwelve,74,24,58,12,21,14,17,6,23,11,4,2,10,27
6157,PacTwelve,@,60,23,59,10,29,4,6,11,34,14,1,3,16,15,PacTwelve,68,24,61,8,24,12,16,12,35,14,12,1,10,12
6158,PacTwelve,@,69,22,54,9,20,16,23,8,42,14,4,4,8,18,PacTwelve,47,19,57,1,17,8,17,7,32,6,5,2,7,17
6159,PacTwelve,,70,27,57,11,26,5,8,8,30,16,3,3,15,12,PacTwelve,66,28,61,2,11,8,10,9,30,9,10,2,9,16
6160,PacTwelve,@,64,26,61,5,20,7,8,10,30,5,8,2,16,15,PacTwelve,72,31,59,3,14,7,11,9,29,12,8,3,15,12
6161,PacTwelve,@,72,28,64,7,28,9,12,4,34,17,7,3,10,13,PacTwelve,74,25,63,8,24,16,19,6,35,14,6,1,10,13
6162,PacTwelve,N,68,21,57,4,21,22,32,10,34,4,4,4,9,19,PacTwelve,82,27,55,10,21,18,25,4,32,16,9,3,13,24
6163,PacTwelve,@,69,30,66,6,17,3,4,11,39,19,6,5,10,19,PacTwelve,64,21,59,9,30,13,20,10,32,9,3,4,7,9
6164,PacTwelve,@,61,24,51,7,21,6,12,5,27,10,6,0,15,20,PacTwelve,72,25,52,11,21,11,17,9,31,15,6,3,15,13
6165,PacTwelve,@,64,23,67,7,28,11,19,15,39,12,9,3,7,24,PacTwelve,61,18,57,5,24,20,30,15,41,6,5,11,12,13
6166,PacTwelve,,79,27,68,6,17,19,25,9,35,15,14,5,11,25,PacTwelve,70,21,62,6,19,22,28,14,37,10,3,9,18,22
6167,PacTwelve,@,60,21,64,7,24,11,15,12,36,8,9,0,9,19,PacTwelve,70,24,56,6,22,16,20,10,40,13,4,4,13,13
6168,PacTwelve,@,53,22,55,7,23,2,4,7,28,15,8,1,11,17,PacTwelve,63,23,51,5,18,12,13,6,30,17,6,3,11,7
6169,PacTwelve,,80,30,52,12,24,8,10,4,23,18,9,4,9,16,PacTwelve,62,22,50,6,20,12,15,10,27,13,3,2,13,9
6170,PacTwelve,,69,26,63,11,23,6,10,15,28,14,4,2,3,13,PacTwelve,54,19,44,6,20,10,13,8,27,10,1,4,14,12
